url,redirect
/pubs/annual/previous-annual-reports/annrpt2000/economics.html,/pubs/annual/previous-annual-reports/annrpt2000/economics
/pubs/annual/previous-annual-reports/annrpt2000/grants.html,/pubs/annual/previous-annual-reports/annrpt2000/grants
/pubs/annual/previous-annual-reports/annrpt2000/international.html,/pubs/annual/previous-annual-reports/annrpt2000/international
/pubs/annual/previous-annual-reports/annrpt2000/leadership.html,/pubs/annual/previous-annual-reports/annrpt2000/leadership
/pubs/annual/previous-annual-reports/annrpt2000/letter.html,/pubs/annual/previous-annual-reports/annrpt2000/letter
/pubs/annual/previous-annual-reports/annrpt2000/libraries.html,/pubs/annual/previous-annual-reports/annrpt2000/libraries
/pubs/annual/previous-annual-reports/annrpt2000/message.html,/pubs/annual/previous-annual-reports/annrpt2000/message
/pubs/annual/previous-annual-reports/annrpt2000/preservation.html,/pubs/annual/previous-annual-reports/annrpt2000/preservation
/pubs/annual/previous-annual-reports/annrpt2000/publications.html,/pubs/annual/previous-annual-reports/annrpt2000/publications
/pubs/annual/previous-annual-reports/annrpt2000/resources.html,/pubs/annual/previous-annual-reports/annrpt2000/resources
/pubs/annual/previous-annual-reports/annrpt2001,
/pubs/annual/previous-annual-reports/annrpt2001/01CLIR.pdf,/wp-content/uploads/sites/6/01CLIR.pdf
/pubs/annual/previous-annual-reports/annrpt2001/acknowledgments.html,/pubs/annual/previous-annual-reports/annrpt2001/acknowledgments
/pubs/annual/previous-annual-reports/annrpt2001/advisory.html,/pubs/annual/previous-annual-reports/annrpt2001/advisory
/pubs/annual/previous-annual-reports/annrpt2001/auditxx.html,/pubs/annual/previous-annual-reports/annrpt2001/auditxx
/pubs/annual/previous-annual-reports/annrpt2001/grants.html,/pubs/annual/previous-annual-reports/annrpt2001/grants
/pubs/annual/previous-annual-reports/annrpt2001/international.html,/pubs/annual/previous-annual-reports/annrpt2001/international
/pubs/annual/previous-annual-reports/annrpt2001/leadership.html,/pubs/annual/previous-annual-reports/annrpt2001/leadership
/pubs/annual/previous-annual-reports/annrpt2001/letter.html,/pubs/annual/previous-annual-reports/annrpt2001/letter
